ID,LOCATION,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,WY Total,Pct Avg to Date
ASHO3,ASHLAND,1.53,2.03,1.08,1.68,0.70,2.31,3.33,1.56,0.65,0.00,0.23,0.93,16.03,81
CVJO3,CAVE JUNCTION,3.99,5.45,7.58,10.52,7.70,10.52,8.55,3.03,3.17,0.00,0.02,2.13,62.66,100
GOLO3,GOLD BEACH,4.53,10.43,9.08,15.66,9.20,11.05,12.50,5.79,6.81,0.03,0.00,3.20,88.28,111
GPSO3,GRANTS PASS KAJO,2.43,3.24,2.60,5.93,3.97,2.97,4.05,1.71,1.72,0.00,0.10,1.67,30.39,98
GSPO3,GREEN SPRINGS PP,1.58,2.10,0.98,2.82,1.59,3.14,4.66,1.19,0.90,0.90,0.11,0.75,20.72,90
LEMO3,LEMOLO LAKE,4.73,7.22,6.01,8.08,4.26,5.25,7.97,5.10,5.72,0.32,1.20,3.97,59.83,91
MFR,MEDFORD,0.65,1.22,1.81,2.77,1.03,2.10,2.92,1.53,1.00,0.00,0.86,0.79,16.68,91
OTH,NORTH BEND,5.78,7.31,6.99,9.62,6.65,8.85,6.44,4.68,4.50,0.15,0.04,2.16,63.17,98
PRSO3,PROSPECT 2SW,3.49,4.78,3.07,3.72,2.35,3.32,4.76,3.41,2.68,0.17,0.40,2.10,34.25,81
RIDO3,RIDDLE,3.17,3.58,2.35,4.96,3.15,3.38,5.01,3.62,1.72,0.00,0.13,1.41,32.48,103
ROGO3,ROSEBURG,3.05,4.84,3.56,5.63,2.62,4.78,5.36,3.83,1.47,0.00,0.27,1.85,37.26,111
SXT,SEXTON SUMMIT,3.39,3.86,5.86,6.59,4.91,5.39,6.59,3.01,2.83,0.00,0.07,2.46,44.96,136
TKFO3,TOKETEE FALLS,4.40,5.48,4.05,5.25,2.81,4.88,5.54,4.31,3.73,0.09,0.72,3.07,44.33,91
WINO3,WINCHESTER DAM,3.32,5.02,3.80,5.16,3.06,4.45,5.30,3.90,2.06,0.00,0.20,1.57,37.84,106
